,Date,Unix,Ticker,DE Ratio,Price,stock_p_change,SP500,sp500_p_change,Difference,Status
70,2012-07-28 11:41:32,1343490092.0,hrs,117.67,42.51,-17.1990650565,1337.890015,-11.2610865803,-5.93797847619,underperform
71,2012-11-18 17:15:45,1353276945.0,hrs,106.73,46.42,-9.58317101675,1353.329956,-10.2369937384,0.653822721648,outperform
72,2008-06-24 16:35:12,1214339712.0,hrs,0.41,51.9,1.0907674328,1314.290039,-12.8264142257,13.9171816585,outperform
73,2013-05-13 02:02:15,1368424935.0,hrs,114.84,48.79,-4.96688741722,1633.77002,8.36389742582,-13.330784843,underperform
74,2007-03-21 08:58:39,1174481919.0,hrs,0.389,49.17,-4.2267238021,1435.040039,-4.81736738679,0.590643584682,outperform
75,2007-03-19 19:30:27,1174347027.0,hrs,0.389,48.4,-5.7265290222,1402.060059,-7.00484734178,1.27831831958,outperform
76,2010-09-25 07:08:51,1285412931.0,hrs,55.14,45.37,-11.6283599533,1134.280029,-24.7660299736,13.1376700203,outperform
77,2008-02-09 02:06:45,1202540805.0,hrs,0.45,54.82,6.77834047526,1326.449951,-12.0198775403,18.7982180155,outperform
78,2008-04-15 00:01:02,1208232062.0,hrs,0.45,48.69,-5.16166731593,1334.430054,-11.4905771783,6.32890986237,outperform
79,2005-01-13 13:27:41,1105640861.0,hrs,0.308,57.69,12.3685235684,1177.449951,-21.9026765382,34.2712001065,outperform
80,2011-10-20 07:46:18,1319111178.0,hrs,82.49,35.79,-30.2882742501,1215.390015,-19.3862065618,-10.9020676883,underperform
81,2012-01-31 00:30:56,1327987856.0,gs,687.01,109.73,0.0,1312.410034,0.0,0.0,underperform
82,2007-01-13 03:29:22,1168676962.0,gs,6.819,213.99,95.0150369088,1414.849976,7.80548299283,87.209553916,outperform
83,2007-04-13 17:47:19,1176500839.0,gs,6.819,205.96,87.6970746377,1452.849976,10.7009195573,76.9961550805,outperform
84,2008-01-22 20:01:45,1201050105.0,gs,11.02,189.32,72.532579969,1310.5,-0.145536375867,72.6781163449,outperform
85,2011-11-02 20:11:50,1320279110.0,gs,659.55,106.3,-3.12585436982,1237.900024,-5.67734229926,2.55148792944,outperform
86,2007-05-13 04:06:01,1179043561.0,gs,11.864,227.5,107.327075549,1491.469971,13.6435970742,93.6834784749,outperform
87,2007-06-13 10:40:52,1181745652.0,gs,11.864,227.85,107.646040281,1515.670044,15.4875385538,92.1585017269,outperform
88,2008-12-17 11:42:58,1229532178.0,gs,8.861,76.0,-30.7390868495,904.419983,-31.0870871473,0.348000297799,outperform
89,2012-07-14 06:26:23,1342261583.0,gs,666.85,97.43,-11.2093319967,1341.449951,2.21271677659,-13.4220487733,underperform
90,2007-03-04 07:04:31,1173009871.0,gs,10.922,195.67,78.3195115283,1403.170044,6.91552240906,71.4039891192,outperform
91,2012-01-02 19:33:14,1325550794.0,gs,687.01,90.43,-17.588626629,1257.599976,-4.17629068508,-13.4123359439,underperform
92,2004-04-13 04:06:33,1081843593.0,gs,5.366,105.82,-3.56329171603,1129.439941,-13.941534144,10.378242428,outperform
